dataset,instance,product,period,value
3X,IncT3x_10,EK8A_100,27,495.0
3X,IncT3x_10,EK8A_100,28,392.0
3X,IncT3x_10,EK8A_100,31,380.0
3X,IncT3x_10,EK8A_100,32,474.0
3X,IncT3x_10,EK8A_100,35,262.0
3X,IncT3x_10,EK8A_100,37,1213.0
3X,IncT3x_10,EK8A_100,38,234.0
3X,IncT3x_10,EK8A_100,46,495.0
3X,IncT3x_10,EK8A_100,47,392.0
3X,IncT3x_10,EK8A_100,50,380.0
3X,IncT3x_10,EK8A_100,51,474.0
3X,IncT3x_10,EK8A_100,54,262.0
3X,IncT3x_10,EK8A_100,56,1213.0
3X,IncT3x_10,EK8A_100,57,234.0
3X,IncT3x_10,EK8A_120,4,228.0
3X,IncT3x_10,EK8A_120,16,2062.0
3X,IncT3x_10,EK8A_120,17,2078.0
3X,IncT3x_10,EK8A_120,19,232.0
3X,IncT3x_10,EK8A_120,23,228.0
3X,IncT3x_10,EK8A_120,35,2062.0
3X,IncT3x_10,EK8A_120,36,2078.0
3X,IncT3x_10,EK8A_120,38,232.0
3X,IncT3x_10,EK8A_120,42,228.0
3X,IncT3x_10,EK8A_120,54,2062.0
3X,IncT3x_10,EK8A_120,55,2078.0
3X,IncT3x_10,EK8A_120,57,232.0
3X,IncT3x_10,EK8A_150,8,296.0
3X,IncT3x_10,EK8A_150,11,222.0
3X,IncT3x_10,EK8A_150,12,222.0
3X,IncT3x_10,EK8A_150,13,2588.0
3X,IncT3x_10,EK8A_150,19,1172.0
3X,IncT3x_10,EK8A_150,27,296.0
3X,IncT3x_10,EK8A_150,30,222.0
3X,IncT3x_10,EK8A_150,31,222.0
3X,IncT3x_10,EK8A_150,32,2588.0
3X,IncT3x_10,EK8A_150,38,1172.0
3X,IncT3x_10,EK8A_150,46,296.0
3X,IncT3x_10,EK8A_150,49,222.0
3X,IncT3x_10,EK8A_150,50,222.0
3X,IncT3x_10,EK8A_150,51,2588.0
3X,IncT3x_10,EK8A_150,57,1172.0
3X,IncT3x_10,EK8A_FFF,17,1768.0
3X,IncT3x_10,EK8A_FFF,18,1163.0
3X,IncT3x_10,EK8A_FFF,19,69.0
3X,IncT3x_10,EK8A_FFF,36,1768.0
3X,IncT3x_10,EK8A_FFF,37,1163.0
3X,IncT3x_10,EK8A_FFF,38,69.0
3X,IncT3x_10,EK8A_FFF,55,1768.0
3X,IncT3x_10,EK8A_FFF,56,1163.0
3X,IncT3x_10,EK8A_FFF,57,69.0
3X,IncT3x_10,EK8R_3_5_7,10,245.0
3X,IncT3x_10,EK8R_3_5_7,13,165.0
3X,IncT3x_10,EK8R_3_5_7,18,472.0
3X,IncT3x_10,EK8R_3_5_7,19,118.0
3X,IncT3x_10,EK8R_3_5_7,29,245.0
3X,IncT3x_10,EK8R_3_5_7,32,165.0
3X,IncT3x_10,EK8R_3_5_7,37,472.0
3X,IncT3x_10,EK8R_3_5_7,38,118.0
3X,IncT3x_10,EK8R_3_5_7,48,245.0
3X,IncT3x_10,EK8R_3_5_7,51,165.0
3X,IncT3x_10,EK8R_3_5_7,56,472.0
3X,IncT3x_10,EK8R_3_5_7,57,118.0
3X,IncT3x_10,EK8R_4_10,7,164.0
3X,IncT3x_10,EK8R_4_10,9,5241.0
3X,IncT3x_10,EK8R_4_10,13,228.0
3X,IncT3x_10,EK8R_4_10,16,328.0
3X,IncT3x_10,EK8R_4_10,17,182.0
3X,IncT3x_10,EK8R_4_10,18,2853.0
3X,IncT3x_10,EK8R_4_10,19,4.0
3X,IncT3x_10,EK8R_4_10,26,164.0
3X,IncT3x_10,EK8R_4_10,28,5241.0
3X,IncT3x_10,EK8R_4_10,32,228.0
3X,IncT3x_10,EK8R_4_10,35,328.0
3X,IncT3x_10,EK8R_4_10,36,182.0
3X,IncT3x_10,EK8R_4_10,37,2853.0
3X,IncT3x_10,EK8R_4_10,38,4.0
3X,IncT3x_10,EK8R_4_10,45,164.0
3X,IncT3x_10,EK8R_4_10,47,5241.0
3X,IncT3x_10,EK8R_4_10,51,228.0
3X,IncT3x_10,EK8R_4_10,54,328.0
3X,IncT3x_10,EK8R_4_10,55,182.0
3X,IncT3x_10,EK8R_4_10,56,2853.0
3X,IncT3x_10,EK8R_4_10,57,4.0
3X,IncT3x_10,EK8R_6_10,16,1831.0
3X,IncT3x_10,EK8R_6_10,19,2169.0
3X,IncT3x_10,EK8R_6_10,35,1831.0
3X,IncT3x_10,EK8R_6_10,38,2169.0
3X,IncT3x_10,EK8R_6_10,54,1831.0
3X,IncT3x_10,EK8R_6_10,57,2169.0
3X,IncT3x_10,EK8R_10_20,12,225.0
3X,IncT3x_10,EK8R_10_20,14,610.0
3X,IncT3x_10,EK8R_10_20,19,65.0
3X,IncT3x_10,EK8R_10_20,31,225.0
3X,IncT3x_10,EK8R_10_20,33,610.0
3X,IncT3x_10,EK8R_10_20,38,65.0
3X,IncT3x_10,EK8R_10_20,50,225.0
3X,IncT3x_10,EK8R_10_20,52,610.0
3X,IncT3x_10,EK8R_10_20,57,65.0
3X,IncT3x_10,EK8R_12_16,2,2357.0
3X,IncT3x_10,EK8R_12_16,13,432.0
3X,IncT3x_10,EK8R_12_16,16,402.0
3X,IncT3x_10,EK8R_12_16,17,8354.0
3X,IncT3x_10,EK8R_12_16,19,455.0
3X,IncT3x_10,EK8R_12_16,21,2357.0
3X,IncT3x_10,EK8R_12_16,32,432.0
3X,IncT3x_10,EK8R_12_16,35,402.0
3X,IncT3x_10,EK8R_12_16,36,8354.0
3X,IncT3x_10,EK8R_12_16,38,455.0
3X,IncT3x_10,EK8R_12_16,40,2357.0
3X,IncT3x_10,EK8R_12_16,51,432.0
3X,IncT3x_10,EK8R_12_16,54,402.0
3X,IncT3x_10,EK8R_12_16,55,8354.0
3X,IncT3x_10,EK8R_12_16,57,455.0
3X,IncT3x_10,EK8R_10_36,3,610.0
3X,IncT3x_10,EK8R_10_36,7,332.0
3X,IncT3x_10,EK8R_10_36,15,239.0
3X,IncT3x_10,EK8R_10_36,18,573.0
3X,IncT3x_10,EK8R_10_36,19,246.0
3X,IncT3x_10,EK8R_10_36,22,610.0
3X,IncT3x_10,EK8R_10_36,26,332.0
3X,IncT3x_10,EK8R_10_36,34,239.0
3X,IncT3x_10,EK8R_10_36,37,573.0
3X,IncT3x_10,EK8R_10_36,38,246.0
3X,IncT3x_10,EK8R_10_36,41,610.0
3X,IncT3x_10,EK8R_10_36,45,332.0
3X,IncT3x_10,EK8R_10_36,53,239.0
3X,IncT3x_10,EK8R_10_36,56,573.0
3X,IncT3x_10,EK8R_10_36,57,246.0
3X,IncT3x_10,EK8R_20_40,14,457.0
3X,IncT3x_10,EK8R_20_40,19,2693.0
3X,IncT3x_10,EK8R_20_40,33,457.0
3X,IncT3x_10,EK8R_20_40,38,2693.0
3X,IncT3x_10,EK8R_20_40,52,457.0
3X,IncT3x_10,EK8R_20_40,57,2693.0
3X,IncT3x_10,EK8R_08_20,13,355.0
3X,IncT3x_10,EK8R_08_20,15,152.0
3X,IncT3x_10,EK8R_08_20,18,2314.0
3X,IncT3x_10,EK8R_08_20,19,179.0
3X,IncT3x_10,EK8R_08_20,32,355.0
3X,IncT3x_10,EK8R_08_20,34,152.0
3X,IncT3x_10,EK8R_08_20,37,2314.0
3X,IncT3x_10,EK8R_08_20,38,179.0
3X,IncT3x_10,EK8R_08_20,51,355.0
3X,IncT3x_10,EK8R_08_20,53,152.0
3X,IncT3x_10,EK8R_08_20,56,2314.0
3X,IncT3x_10,EK8R_08_20,57,179.0
3X,IncT3x_10,EK8R_40_F,15,1653.0
3X,IncT3x_10,EK8R_40_F,16,1072.0
3X,IncT3x_10,EK8R_40_F,18,1244.0
3X,IncT3x_10,EK8R_40_F,19,31.0
3X,IncT3x_10,EK8R_40_F,34,1653.0
3X,IncT3x_10,EK8R_40_F,35,1072.0
3X,IncT3x_10,EK8R_40_F,37,1244.0
3X,IncT3x_10,EK8R_40_F,38,31.0
3X,IncT3x_10,EK8R_40_F,53,1653.0
3X,IncT3x_10,EK8R_40_F,54,1072.0
3X,IncT3x_10,EK8R_40_F,56,1244.0
3X,IncT3x_10,EK8R_40_F,57,31.0
3X,IncT3x_10,EK8R_70_F,8,378.0
3X,IncT3x_10,EK8R_70_F,14,276.0
3X,IncT3x_10,EK8R_70_F,16,4070.0
3X,IncT3x_10,EK8R_70_F,18,1721.0
3X,IncT3x_10,EK8R_70_F,19,555.0
3X,IncT3x_10,EK8R_70_F,27,378.0
3X,IncT3x_10,EK8R_70_F,33,276.0
3X,IncT3x_10,EK8R_70_F,35,4070.0
3X,IncT3x_10,EK8R_70_F,37,1721.0
3X,IncT3x_10,EK8R_70_F,38,555.0
3X,IncT3x_10,EK8R_70_F,46,378.0
3X,IncT3x_10,EK8R_70_F,52,276.0
3X,IncT3x_10,EK8R_70_F,54,4070.0
3X,IncT3x_10,EK8R_70_F,56,1721.0
3X,IncT3x_10,EK8R_70_F,57,555.0
3X,IncT3x_10,EK8R_16_F,10,436.0
3X,IncT3x_10,EK8R_16_F,11,237.0
3X,IncT3x_10,EK8R_16_F,12,7285.0
3X,IncT3x_10,EK8R_16_F,19,42.0
3X,IncT3x_10,EK8R_16_F,29,436.0
3X,IncT3x_10,EK8R_16_F,30,237.0
3X,IncT3x_10,EK8R_16_F,31,7285.0
3X,IncT3x_10,EK8R_16_F,38,42.0
3X,IncT3x_10,EK8R_16_F,48,436.0
3X,IncT3x_10,EK8R_16_F,49,237.0
3X,IncT3x_10,EK8R_16_F,50,7285.0
3X,IncT3x_10,EK8R_16_F,57,42.0
3X,IncT3x_10,EK8R_18_F,2,5010.0
3X,IncT3x_10,EK8R_18_F,3,2976.0
3X,IncT3x_10,EK8R_18_F,15,1916.0
3X,IncT3x_10,EK8R_18_F,16,2979.0
3X,IncT3x_10,EK8R_18_F,19,119.0
3X,IncT3x_10,EK8R_18_F,21,5010.0
3X,IncT3x_10,EK8R_18_F,22,2976.0
3X,IncT3x_10,EK8R_18_F,34,1916.0
3X,IncT3x_10,EK8R_18_F,35,2979.0
3X,IncT3x_10,EK8R_18_F,38,119.0
3X,IncT3x_10,EK8R_18_F,40,5010.0
3X,IncT3x_10,EK8R_18_F,41,2976.0
3X,IncT3x_10,EK8R_18_F,53,1916.0
3X,IncT3x_10,EK8R_18_F,54,2979.0
3X,IncT3x_10,EK8R_18_F,57,119.0
3X,IncT3x_10,EK8RM_05_16_4,10,204.0
3X,IncT3x_10,EK8RM_05_16_4,11,171.0
3X,IncT3x_10,EK8RM_05_16_4,15,3691.0
3X,IncT3x_10,EK8RM_05_16_4,16,447.0
3X,IncT3x_10,EK8RM_05_16_4,19,2987.0
3X,IncT3x_10,EK8RM_05_16_4,29,204.0
3X,IncT3x_10,EK8RM_05_16_4,30,171.0
3X,IncT3x_10,EK8RM_05_16_4,34,3691.0
3X,IncT3x_10,EK8RM_05_16_4,35,447.0
3X,IncT3x_10,EK8RM_05_16_4,38,2987.0
3X,IncT3x_10,EK8RM_05_16_4,48,204.0
3X,IncT3x_10,EK8RM_05_16_4,49,171.0
3X,IncT3x_10,EK8RM_05_16_4,53,3691.0
3X,IncT3x_10,EK8RM_05_16_4,54,447.0
3X,IncT3x_10,EK8RM_05_16_4,57,2987.0
3X,IncT3x_10,EK8RM_01_4_4,8,403.0
3X,IncT3x_10,EK8RM_01_4_4,13,718.0
3X,IncT3x_10,EK8RM_01_4_4,15,7197.0
3X,IncT3x_10,EK8RM_01_4_4,17,601.0
3X,IncT3x_10,EK8RM_01_4_4,19,81.0
3X,IncT3x_10,EK8RM_01_4_4,27,403.0
3X,IncT3x_10,EK8RM_01_4_4,32,718.0
3X,IncT3x_10,EK8RM_01_4_4,34,7197.0
3X,IncT3x_10,EK8RM_01_4_4,36,601.0
3X,IncT3x_10,EK8RM_01_4_4,38,81.0
3X,IncT3x_10,EK8RM_01_4_4,46,403.0
3X,IncT3x_10,EK8RM_01_4_4,51,718.0
3X,IncT3x_10,EK8RM_01_4_4,53,7197.0
3X,IncT3x_10,EK8RM_01_4_4,55,601.0
3X,IncT3x_10,EK8RM_01_4_4,57,81.0
3X,IncT3x_10,EK8RM_4_6,3,5898.0
3X,IncT3x_10,EK8RM_4_6,19,102.0
3X,IncT3x_10,EK8RM_4_6,22,5898.0
3X,IncT3x_10,EK8RM_4_6,38,102.0
3X,IncT3x_10,EK8RM_4_6,41,5898.0
3X,IncT3x_10,EK8RM_4_6,57,102.0
3X,IncT3x_10,EK8RM_6_8,10,407.0
3X,IncT3x_10,EK8RM_6_8,17,7079.0
3X,IncT3x_10,EK8RM_6_8,19,14.0
3X,IncT3x_10,EK8RM_6_8,29,407.0
3X,IncT3x_10,EK8RM_6_8,36,7079.0
3X,IncT3x_10,EK8RM_6_8,38,14.0
3X,IncT3x_10,EK8RM_6_8,48,407.0
3X,IncT3x_10,EK8RM_6_8,55,7079.0
3X,IncT3x_10,EK8RM_6_8,57,14.0
3X,IncT3x_10,EK8RM_8_12,1,207.0
3X,IncT3x_10,EK8RM_8_12,3,429.0
3X,IncT3x_10,EK8RM_8_12,7,14521.0
3X,IncT3x_10,EK8RM_8_12,10,5146.0
3X,IncT3x_10,EK8RM_8_12,13,493.0
3X,IncT3x_10,EK8RM_8_12,16,2267.0
3X,IncT3x_10,EK8RM_8_12,19,937.0
3X,IncT3x_10,EK8RM_8_12,20,207.0
3X,IncT3x_10,EK8RM_8_12,22,429.0
3X,IncT3x_10,EK8RM_8_12,26,14521.0
3X,IncT3x_10,EK8RM_8_12,29,5146.0
3X,IncT3x_10,EK8RM_8_12,32,493.0
3X,IncT3x_10,EK8RM_8_12,35,2267.0
3X,IncT3x_10,EK8RM_8_12,38,937.0
3X,IncT3x_10,EK8RM_8_12,39,207.0
3X,IncT3x_10,EK8RM_8_12,41,429.0
3X,IncT3x_10,EK8RM_8_12,45,14521.0
3X,IncT3x_10,EK8RM_8_12,48,5146.0
3X,IncT3x_10,EK8RM_8_12,51,493.0
3X,IncT3x_10,EK8RM_8_12,54,2267.0
3X,IncT3x_10,EK8RM_8_12,57,937.0
3X,IncT3x_10,EK8RM_8_20,7,172.0
3X,IncT3x_10,EK8RM_8_20,15,13340.0
3X,IncT3x_10,EK8RM_8_20,17,617.0
3X,IncT3x_10,EK8RM_8_20,18,721.0
3X,IncT3x_10,EK8RM_8_20,19,150.0
3X,IncT3x_10,EK8RM_8_20,26,172.0
3X,IncT3x_10,EK8RM_8_20,34,13340.0
3X,IncT3x_10,EK8RM_8_20,36,617.0
3X,IncT3x_10,EK8RM_8_20,37,721.0
3X,IncT3x_10,EK8RM_8_20,38,150.0
3X,IncT3x_10,EK8RM_8_20,45,172.0
3X,IncT3x_10,EK8RM_8_20,53,13340.0
3X,IncT3x_10,EK8RM_8_20,55,617.0
3X,IncT3x_10,EK8RM_8_20,56,721.0
3X,IncT3x_10,EK8RM_8_20,57,150.0
3X,IncT3x_10,EK8RM_12_16,9,4785.0
3X,IncT3x_10,EK8RM_12_16,19,215.0
3X,IncT3x_10,EK8RM_12_16,28,4785.0
3X,IncT3x_10,EK8RM_12_16,38,215.0
3X,IncT3x_10,EK8RM_12_16,47,4785.0
3X,IncT3x_10,EK8RM_12_16,57,215.0
3X,IncT3x_10,EK8RM_12_30,4,980.0
3X,IncT3x_10,EK8RM_12_30,5,4742.0
3X,IncT3x_10,EK8RM_12_30,17,1149.0
3X,IncT3x_10,EK8RM_12_30,18,21592.0
3X,IncT3x_10,EK8RM_12_30,19,37.0
3X,IncT3x_10,EK8RM_12_30,23,980.0
3X,IncT3x_10,EK8RM_12_30,24,4742.0
3X,IncT3x_10,EK8RM_12_30,36,1149.0
3X,IncT3x_10,EK8RM_12_30,37,21592.0
3X,IncT3x_10,EK8RM_12_30,38,37.0
3X,IncT3x_10,EK8RM_12_30,42,980.0
3X,IncT3x_10,EK8RM_12_30,43,4742.0
3X,IncT3x_10,EK8RM_12_30,55,1149.0
3X,IncT3x_10,EK8RM_12_30,56,21592.0
3X,IncT3x_10,EK8RM_12_30,57,37.0
3X,IncT3x_10,EK8RM_18_30,2,350.0
3X,IncT3x_10,EK8RM_18_30,12,320.0
3X,IncT3x_10,EK8RM_18_30,15,4188.0
3X,IncT3x_10,EK8RM_18_30,19,1142.0
3X,IncT3x_10,EK8RM_18_30,21,350.0
3X,IncT3x_10,EK8RM_18_30,31,320.0
3X,IncT3x_10,EK8RM_18_30,34,4188.0
3X,IncT3x_10,EK8RM_18_30,38,1142.0
3X,IncT3x_10,EK8RM_18_30,40,350.0
3X,IncT3x_10,EK8RM_18_30,50,320.0
3X,IncT3x_10,EK8RM_18_30,53,4188.0
3X,IncT3x_10,EK8RM_18_30,57,1142.0
3X,IncT3x_10,EK8RM_30_50,10,13277.0
3X,IncT3x_10,EK8RM_30_50,12,10376.0
3X,IncT3x_10,EK8RM_30_50,15,1099.0
3X,IncT3x_10,EK8RM_30_50,19,10248.0
3X,IncT3x_10,EK8RM_30_50,29,13277.0
3X,IncT3x_10,EK8RM_30_50,31,10376.0
3X,IncT3x_10,EK8RM_30_50,34,1099.0
3X,IncT3x_10,EK8RM_30_50,38,10248.0
3X,IncT3x_10,EK8RM_30_50,48,13277.0
3X,IncT3x_10,EK8RM_30_50,50,10376.0
3X,IncT3x_10,EK8RM_30_50,53,1099.0
3X,IncT3x_10,EK8RM_30_50,57,10248.0
3X,IncT3x_10,EK8RM_28_F,10,180.0
3X,IncT3x_10,EK8RM_28_F,12,5153.0
3X,IncT3x_10,EK8RM_28_F,18,1939.0
3X,IncT3x_10,EK8RM_28_F,19,228.0
3X,IncT3x_10,EK8RM_28_F,29,180.0
3X,IncT3x_10,EK8RM_28_F,31,5153.0
3X,IncT3x_10,EK8RM_28_F,37,1939.0
3X,IncT3x_10,EK8RM_28_F,38,228.0
3X,IncT3x_10,EK8RM_28_F,48,180.0
3X,IncT3x_10,EK8RM_28_F,50,5153.0
3X,IncT3x_10,EK8RM_28_F,56,1939.0
3X,IncT3x_10,EK8RM_28_F,57,228.0
3X,IncT3x_10,EK8RM_50_F,8,1638.0
3X,IncT3x_10,EK8RM_50_F,9,185.0
3X,IncT3x_10,EK8RM_50_F,11,351.0
3X,IncT3x_10,EK8RM_50_F,13,3346.0
3X,IncT3x_10,EK8RM_50_F,18,370.0
3X,IncT3x_10,EK8RM_50_F,19,110.0
3X,IncT3x_10,EK8RM_50_F,27,1638.0
3X,IncT3x_10,EK8RM_50_F,28,185.0
3X,IncT3x_10,EK8RM_50_F,30,351.0
3X,IncT3x_10,EK8RM_50_F,32,3346.0
3X,IncT3x_10,EK8RM_50_F,37,370.0
3X,IncT3x_10,EK8RM_50_F,38,110.0
3X,IncT3x_10,EK8RM_50_F,46,1638.0
3X,IncT3x_10,EK8RM_50_F,47,185.0
3X,IncT3x_10,EK8RM_50_F,49,351.0
3X,IncT3x_10,EK8RM_50_F,51,3346.0
3X,IncT3x_10,EK8RM_50_F,56,370.0
3X,IncT3x_10,EK8RM_50_F,57,110.0
3X,IncT3x_2,EK8A_16,3,178.0
3X,IncT3x_2,EK8A_16,19,72.0
3X,IncT3x_2,EK8A_16,22,178.0
3X,IncT3x_2,EK8A_16,38,72.0
3X,IncT3x_2,EK8A_16,41,178.0
3X,IncT3x_2,EK8A_16,57,72.0
3X,IncT3x_2,EK8A_24,15,636.0
3X,IncT3x_2,EK8A_24,18,1137.0
3X,IncT3x_2,EK8A_24,19,227.0
3X,IncT3x_2,EK8A_24,34,636.0
3X,IncT3x_2,EK8A_24,37,1137.0
3X,IncT3x_2,EK8A_24,38,227.0
3X,IncT3x_2,EK8A_24,53,636.0
3X,IncT3x_2,EK8A_24,56,1137.0
3X,IncT3x_2,EK8A_24,57,227.0
3X,IncT3x_2,EK8A_30,1,290.0
3X,IncT3x_2,EK8A_30,16,408.0
3X,IncT3x_2,EK8A_30,18,345.0
3X,IncT3x_2,EK8A_30,19,207.0
3X,IncT3x_2,EK8A_30,20,290.0
3X,IncT3x_2,EK8A_30,35,408.0
3X,IncT3x_2,EK8A_30,37,345.0
3X,IncT3x_2,EK8A_30,38,207.0
3X,IncT3x_2,EK8A_30,39,290.0
3X,IncT3x_2,EK8A_30,54,408.0
3X,IncT3x_2,EK8A_30,56,345.0
3X,IncT3x_2,EK8A_30,57,207.0
3X,IncT3x_2,EK8A_36,3,1566.0
3X,IncT3x_2,EK8A_36,5,2263.0
3X,IncT3x_2,EK8A_36,16,264.0
3X,IncT3x_2,EK8A_36,19,157.0
3X,IncT3x_2,EK8A_36,22,1566.0
3X,IncT3x_2,EK8A_36,24,2263.0
3X,IncT3x_2,EK8A_36,35,264.0
3X,IncT3x_2,EK8A_36,38,157.0
3X,IncT3x_2,EK8A_36,41,1566.0
3X,IncT3x_2,EK8A_36,43,2263.0
3X,IncT3x_2,EK8A_36,54,264.0
3X,IncT3x_2,EK8A_36,57,157.0
3X,IncT3x_2,EK8A_46,12,9187.0
3X,IncT3x_2,EK8A_46,17,181.0
3X,IncT3x_2,EK8A_46,19,132.0
3X,IncT3x_2,EK8A_46,31,9187.0
3X,IncT3x_2,EK8A_46,36,181.0
3X,IncT3x_2,EK8A_46,38,132.0
3X,IncT3x_2,EK8A_46,50,9187.0
3X,IncT3x_2,EK8A_46,55,181.0
3X,IncT3x_2,EK8A_46,57,132.0
3X,IncT3x_2,EK8A_54,12,732.0
3X,IncT3x_2,EK8A_54,15,198.0
3X,IncT3x_2,EK8A_54,16,180.0
3X,IncT3x_2,EK8A_54,18,880.0
3X,IncT3x_2,EK8A_54,19,10.0
3X,IncT3x_2,EK8A_54,31,732.0
3X,IncT3x_2,EK8A_54,34,198.0
3X,IncT3x_2,EK8A_54,35,180.0
3X,IncT3x_2,EK8A_54,37,880.0
3X,IncT3x_2,EK8A_54,38,10.0
3X,IncT3x_2,EK8A_54,50,732.0
3X,IncT3x_2,EK8A_54,53,198.0
3X,IncT3x_2,EK8A_54,54,180.0
3X,IncT3x_2,EK8A_54,56,880.0
3X,IncT3x_2,EK8A_54,57,10.0
3X,IncT3x_2,EK8A_60,10,303.0
3X,IncT3x_2,EK8A_60,11,790.0
3X,IncT3x_2,EK8A_60,12,611.0
3X,IncT3x_2,EK8A_60,13,7431.0
3X,IncT3x_2,EK8A_60,18,1275.0
3X,IncT3x_2,EK8A_60,19,140.0
3X,IncT3x_2,EK8A_60,29,303.0
3X,IncT3x_2,EK8A_60,30,790.0
3X,IncT3x_2,EK8A_60,31,611.0
3X,IncT3x_2,EK8A_60,32,7431.0
3X,IncT3x_2,EK8A_60,37,1275.0
3X,IncT3x_2,EK8A_60,38,140.0
3X,IncT3x_2,EK8A_60,48,303.0
3X,IncT3x_2,EK8A_60,49,790.0
3X,IncT3x_2,EK8A_60,50,611.0
3X,IncT3x_2,EK8A_60,51,7431.0
3X,IncT3x_2,EK8A_60,56,1275.0
3X,IncT3x_2,EK8A_60,57,140.0
3X,IncT3x_2,EK8A_80,9,7631.0
3X,IncT3x_2,EK8A_80,11,333.0
3X,IncT3x_2,EK8A_80,12,594.0
3X,IncT3x_2,EK8A_80,15,863.0
3X,IncT3x_2,EK8A_80,18,458.0
3X,IncT3x_2,EK8A_80,19,121.0
3X,IncT3x_2,EK8A_80,28,7631.0
3X,IncT3x_2,EK8A_80,30,333.0
3X,IncT3x_2,EK8A_80,31,594.0
3X,IncT3x_2,EK8A_80,34,863.0
3X,IncT3x_2,EK8A_80,37,458.0
3X,IncT3x_2,EK8A_80,38,121.0
3X,IncT3x_2,EK8A_80,47,7631.0
3X,IncT3x_2,EK8A_80,49,333.0
3X,IncT3x_2,EK8A_80,50,594.0
3X,IncT3x_2,EK8A_80,53,863.0
3X,IncT3x_2,EK8A_80,56,458.0
3X,IncT3x_2,EK8A_80,57,121.0
3X,IncT3x_2,EK8A_100,9,166.0
3X,IncT3x_2,EK8A_100,12,1799.0
3X,IncT3x_2,EK8A_100,18,1359.0
3X,IncT3x_2,EK8A_100,19,126.0
3X,IncT3x_2,EK8A_100,28,166.0
3X,IncT3x_2,EK8A_100,31,1799.0
3X,IncT3x_2,EK8A_100,37,1359.0
3X,IncT3x_2,EK8A_100,38,126.0
3X,IncT3x_2,EK8A_100,47,166.0
3X,IncT3x_2,EK8A_100,50,1799.0
3X,IncT3x_2,EK8A_100,56,1359.0
3X,IncT3x_2,EK8A_100,57,126.0
3X,IncT3x_2,EK8A_120,2,4382.0
3X,IncT3x_2,EK8A_120,19,218.0
3X,IncT3x_2,EK8A_120,21,4382.0
3X,IncT3x_2,EK8A_120,38,218.0
3X,IncT3x_2,EK8A_120,40,4382.0
3X,IncT3x_2,EK8A_120,57,218.0
3X,IncT3x_2,EK8A_150,2,1744.0
3X,IncT3x_2,EK8A_150,11,1013.0
3X,IncT3x_2,EK8A_150,13,165.0
3X,IncT3x_2,EK8A_150,15,1455.0
3X,IncT3x_2,EK8A_150,19,123.0
3X,IncT3x_2,EK8A_150,21,1744.0
3X,IncT3x_2,EK8A_150,30,1013.0
3X,IncT3x_2,EK8A_150,32,165.0
3X,IncT3x_2,EK8A_150,34,1455.0
3X,IncT3x_2,EK8A_150,38,123.0
3X,IncT3x_2,EK8A_150,40,1744.0
3X,IncT3x_2,EK8A_150,49,1013.0
3X,IncT3x_2,EK8A_150,51,165.0
3X,IncT3x_2,EK8A_150,53,1455.0
3X,IncT3x_2,EK8A_150,57,123.0
3X,IncT3x_2,EK8A_FFF,2,1939.0
3X,IncT3x_2,EK8A_FFF,9,528.0
3X,IncT3x_2,EK8A_FFF,12,167.0
3X,IncT3x_2,EK8A_FFF,17,210.0
3X,IncT3x_2,EK8A_FFF,19,156.0
3X,IncT3x_2,EK8A_FFF,21,1939.0
3X,IncT3x_2,EK8A_FFF,28,528.0
3X,IncT3x_2,EK8A_FFF,31,167.0
3X,IncT3x_2,EK8A_FFF,36,210.0
3X,IncT3x_2,EK8A_FFF,38,156.0
3X,IncT3x_2,EK8A_FFF,40,1939.0
3X,IncT3x_2,EK8A_FFF,47,528.0
3X,IncT3x_2,EK8A_FFF,50,167.0
3X,IncT3x_2,EK8A_FFF,55,210.0
3X,IncT3x_2,EK8A_FFF,57,156.0
3X,IncT3x_2,EK8R_3_5_7,16,876.0
3X,IncT3x_2,EK8R_3_5_7,19,124.0
3X,IncT3x_2,EK8R_3_5_7,35,876.0
3X,IncT3x_2,EK8R_3_5_7,38,124.0
3X,IncT3x_2,EK8R_3_5_7,54,876.0
3X,IncT3x_2,EK8R_3_5_7,57,124.0
3X,IncT3x_2,EK8R_4_10,15,8964.0
3X,IncT3x_2,EK8R_4_10,19,36.0
3X,IncT3x_2,EK8R_4_10,34,8964.0
3X,IncT3x_2,EK8R_4_10,38,36.0
3X,IncT3x_2,EK8R_4_10,53,8964.0
3X,IncT3x_2,EK8R_4_10,57,36.0
3X,IncT3x_2,EK8R_6_10,7,3920.0
3X,IncT3x_2,EK8R_6_10,19,80.0
3X,IncT3x_2,EK8R_6_10,26,3920.0
3X,IncT3x_2,EK8R_6_10,38,80.0
3X,IncT3x_2,EK8R_6_10,45,3920.0
3X,IncT3x_2,EK8R_6_10,57,80.0
3X,IncT3x_2,EK8R_10_20,8,581.0
3X,IncT3x_2,EK8R_10_20,18,268.0
3X,IncT3x_2,EK8R_10_20,19,51.0
3X,IncT3x_2,EK8R_10_20,27,581.0
3X,IncT3x_2,EK8R_10_20,37,268.0
3X,IncT3x_2,EK8R_10_20,38,51.0
3X,IncT3x_2,EK8R_10_20,46,581.0
3X,IncT3x_2,EK8R_10_20,56,268.0
3X,IncT3x_2,EK8R_10_20,57,51.0
3X,IncT3x_2,EK8R_12_16,1,882.0
3X,IncT3x_2,EK8R_12_16,2,3023.0
3X,IncT3x_2,EK8R_12_16,13,704.0
3X,IncT3x_2,EK8R_12_16,17,3424.0
